zip,state,latitude,longitude,No_requests
37032,TN,36.522355,-87.02542,1
83712,ID,43.595763,-116.16367,1
28083,NC,35.492989,-80.60293,1
55744,MN,47.243062,-93.52599,1
22315,VA,38.757924,-77.15284,1
77515,TX,29.16866,-95.44541,1
27106,NC,36.141395,-80.3137,2
75229,TX,32.895376,-96.85985,2
67208,KS,37.701997,-97.28114,1
91356,CA,34.164255,-118.54472,1
01701,MA,42.318695,-71.42344,3
98117,WA,47.685919,-122.37838,4
01770,MA,42.231025,-71.37202,1
37922,TN,35.875925,-84.12608,13
20164,VA,39.011909,-77.39295,1
50021,IA,41.725288,-93.60475,2
99709,AK,64.854937,-147.87406,1
55071,MN,44.835366,-92.99254,1
20006,DC,38.897567,-77.04195,2
21202,MD,39.296507,-76.60693,2
78758,TX,30.384204,-97.70392,2
22203,VA,38.874979,-77.11455,2
45409,OH,39.725705,-84.18927,1
55107,MN,44.928315,-93.08876,3
62035,IL,38.947841,-90.2216,1
10011,NY,40.741012,-74.00012,10
29401,SC,32.779126,-79.9355,1
19081,PA,39.897562,-75.34658,1
10954,NY,41.100182,-74.0133,2
91360,CA,34.208837,-118.87348,3
57747,SD,43.401616,-103.5051,1
29205,SC,33.990555,-80.99826,2
98144,WA,47.58577,-122.30081,2
85013,AZ,33.50711,-112.08483,4
48104,MI,42.266805,-83.72297,19
51537,IA,41.638566,-95.29692,1
07470,NJ,40.943608,-74.25004,1
14519,NY,43.227921,-77.30097,1
12866,NY,43.080399,-73.77038,5
28754,NC,35.866763,-82.52043,1
13021,NY,42.922273,-76.55882,1
98107,WA,47.66747,-122.37468,1
93117,CA,34.443746,-119.94215,2
94566,CA,37.658898,-121.87149,3
98502,WA,47.071484,-122.97702,6
92802,CA,33.806965,-117.92594,2
10022,NY,40.759015,-73.96732,7
46970,IN,40.753091,-86.07185,1
55439,MN,44.875997,-93.37021,2
07002,NJ,40.666552,-74.11768,1
55441,MN,45.001997,-93.42421,3
07661,NJ,40.927579,-74.03739,1
45237,OH,39.188859,-84.45798,1
95123,CA,37.244426,-121.83246,4
55016,MN,44.830966,-92.93739,3
54016,WI,44.978518,-92.71996,4
53705,WI,43.073395,-89.45049,5
01603,MA,42.240526,-71.83776,1
33186,FL,25.662292,-80.40947,1
03052,NH,42.85059,-71.45379,1
55407,MN,44.934915,-93.25424,5
19001,PA,40.127907,-75.12695,1
14468,NY,43.289787,-77.79548,2
91767,CA,34.080143,-117.73861,1
94061,CA,37.463911,-122.23396,3
79930,TX,31.803457,-106.45758,1
60076,IL,42.03618,-87.7321,3
55125,MN,44.921982,-92.94234,5
04915,ME,44.445295,-69.02257,1
10977,NY,41.116795,-74.04504,1
44106,OH,41.507751,-81.60883,3
29146,SC,33.506999,-81.28947,1
10458,NY,40.864166,-73.88881,1
94587,CA,37.592184,-122.04577,3
55108,MN,44.982515,-93.17489,6
83706,ID,43.593523,-116.19903,1
84321,UT,41.730637,-111.78042,2
53715,WI,43.061546,-89.40024,6
92123,CA,32.803799,-117.13595,2
97333,OR,44.52789,-123.2791,6
20194,VA,38.977362,-77.34658,2
94115,CA,37.786129,-122.43736,9
55432,MN,45.095674,-93.25336,1
90048,CA,34.073759,-118.37376,6
25801,WV,37.79064,-81.19958,1
90620,CA,33.841014,-118.00969,1
53714,WI,43.099861,-89.31786,1
80218,CO,39.731237,-104.97133,1
92075,CA,32.997543,-117.26087,2
52761,IL,41.413372,-91.00612,1
95822,CA,38.51394,-121.49201,1
94063,CA,37.483504,-122.2144,3
55116,MN,44.913815,-93.17459,10
28262,NC,35.321279,-80.7405,3
14850,NY,42.449454,-76.49685,9
11215,NY,40.667508,-73.9856,8
94518,CA,37.954122,-122.02506,1
90291,CA,33.992411,-118.46531,4
04576,ME,43.823008,-69.66661,1
43210,OH,40.003681,-83.02148,2
55408,MN,44.947515,-93.28742,15
37919,TN,35.922881,-84.00384,3
39652,MS,31.117097,-90.45287,1
55126,MN,45.085643,-93.1353,7
46835,IN,41.138599,-85.05941,2
94618,CA,37.843726,-122.24369,4
55121,MN,44.844965,-93.14431,2
11576,NY,40.793839,-73.65156,2
19072,PA,40.014541,-75.25805,2
66046,KS,38.932303,-95.22513,1
60625,IL,41.971614,-87.70256,2
94404,CA,37.554335,-122.27032,5
72703,AR,36.107078,-94.11592,3
48126,MI,42.333787,-83.18179,1
11229,NY,40.599256,-73.94118,2
55105,MN,44.934465,-93.16554,16
94112,CA,37.720931,-122.44241,1
97370,OR,44.578526,-123.43709,2
49015,MI,42.30244,-85.22294,1
85310,AZ,33.701173,-112.17614,1
55076,MN,44.844833,-93.03528,3
55436,MN,44.903864,-93.37056,2
60615,IL,41.801525,-87.60215,3
98126,WA,47.54687,-122.3748,2
75801,TX,31.779481,-95.63325,3
68503,NE,40.823602,-96.67552,1
22304,VA,38.813013,-77.11667,2
20755,MD,39.105015,-76.74126,1
55001,MN,44.903133,-92.81904,1
29708,SC,35.040969,-80.99427,1
55414,MN,44.980379,-93.23003,8
48202,MI,42.375237,-83.07837,1
80302,CO,40.020885,-105.29673,4
55427,MN,45.006764,-93.38223,3
48162,MI,41.940898,-83.38515,1
01982,MA,42.616643,-70.86513,1
60482,IL,41.688827,-87.79265,1
91214,CA,34.232003,-118.24753,1
19118,PA,40.07236,-75.20772,1
94117,CA,37.770937,-122.44276,14
94401,CA,37.570385,-122.32044,1
10003,NY,40.732509,-73.98935,11
91910,CA,32.638654,-117.06686,2
94109,CA,37.792778,-122.42188,9
54601,WI,43.797116,-91.21141,2
94706,CA,37.889125,-122.29371,6
97119,OR,45.43957,-123.17165,1
11801,NY,40.763355,-73.52323,1
94591,CA,38.099119,-122.21035,2
55110,MN,45.081266,-93.01146,4
19406,PA,40.092941,-75.37525,2
55337,MN,44.770297,-93.27302,3
43147,OH,39.904288,-82.756,1
80203,CO,39.731286,-104.98306,1
97211,OR,45.56544,-122.64635,1
19010,PA,40.02371,-75.32764,2
78664,TX,30.514401,-97.65549,2
04901,ME,44.554965,-69.61297,3
53051,WI,43.151183,-88.11034,1
90027,CA,34.111208,-118.28842,5
10025,NY,40.798502,-73.96811,16
16801,PA,40.792011,-77.84993,3
31201,GA,32.830839,-83.63529,1
22207,VA,38.903697,-77.12749,4
02138,MA,42.379146,-71.12803,15
46911,IN,40.614885,-85.93863,1
90740,CA,33.759283,-118.08239,1
38555,TN,35.929314,-85.05926,1
55104,MN,44.953665,-93.15922,17
33436,FL,26.530144,-80.10461,1
99516,AK,61.101142,-149.77311,1
55128,MN,44.985792,-92.96532,4
53716,WI,43.065621,-89.32085,1
55106,MN,44.967565,-93.05001,5
55112,MN,45.076365,-93.19335,10
25302,WV,38.375397,-81.62367,1
55448,MN,45.186232,-93.29635,1
80401,CO,39.735745,-105.19337,3
02115,MA,42.34308,-71.09268,8
92065,CA,33.035844,-116.8513,2
55902,MN,43.991846,-92.49166,2
55109,MN,45.010632,-93.01845,2
55410,MN,44.911564,-93.31947,9
55434,MN,45.164248,-93.2531,1
80205,CO,39.758986,-104.96678,1
80207,CO,39.759386,-104.91945,1
28001,NC,35.351477,-80.19879,1
92119,CA,32.80225,-117.02431,3
55127,MN,45.076708,-93.0828,3
75034,TX,33.143792,-96.83938,1
94114,CA,37.758434,-122.43512,15
55305,MN,44.953763,-93.43346,4
08035,NJ,39.87913,-75.06599,2
60115,IL,41.924127,-88.74617,4
92625,CA,33.600172,-117.86823,1
55101,MN,44.964852,-93.08397,1
20815,MD,38.97986,-77.08079,4
28208,NC,35.235791,-80.89295,1
55419,MN,44.902414,-93.29012,4
46815,IN,41.105691,-85.06509,3
90293,CA,33.957012,-118.44167,1
02141,MA,42.370519,-71.08443,3
72227,AR,34.771024,-92.37117,2
55347,MN,44.831413,-93.46031,2
55346,MN,44.880435,-93.4869,3
80026,CO,40.002156,-105.10036,2
55418,MN,45.019315,-93.24304,5
54822,WI,45.401622,-91.72727,1
92024,CA,33.053092,-117.26855,2
89015,NV,36.030927,-114.96787,2
66205,KS,39.030172,-94.63097,2
78757,TX,30.349455,-97.73328,4
55075,MN,44.887966,-93.04546,3
68131,NE,41.264418,-95.96383,1
10021,NY,40.76842,-73.96045,10
68128,NE,41.183458,-96.05318,1
55405,MN,44.971798,-93.30273,12
20037,DC,38.900394,-77.05126,5
55402,MN,44.975565,-93.27053,1
55013,MN,45.365164,-92.88864,1
56187,MN,43.623255,-95.59604,1
22124,VA,38.88619,-77.32402,2
55454,MN,44.969465,-93.24327,2
55422,MN,45.014764,-93.33965,3
55129,MN,44.896938,-92.90241,4
10128,NY,40.781894,-73.95039,5
13077,NY,42.680693,-76.18566,1
89503,NV,39.53636,-119.8373,1
55417,MN,44.905365,-93.23662,6
43214,OH,40.053063,-83.01881,4
55409,MN,44.924115,-93.28362,5
55317,MN,44.866236,-93.54487,3
55406,MN,44.938615,-93.22082,12
50613,IA,42.527184,-92.45609,1
54901,WI,44.043984,-88.53528,1
55306,MN,44.732569,-93.28909,3
55115,MN,45.060048,-92.95762,2
98155,WA,47.753019,-122.30373,1
43023,OH,40.070985,-82.52134,1
55030,MN,45.842603,-93.11924,1
32940,FL,28.21981,-80.69402,1
55042,MN,44.999023,-92.90939,4
80123,CO,39.616114,-105.07393,1
85037,AZ,33.493006,-112.25539,1
24523,VA,37.339184,-79.52839,1
54720,WI,44.80416,-91.43963,1
55102,MN,44.935315,-93.12049,4
55092,MN,45.329115,-93.06834,1
54703,WI,44.82961,-91.50521,2
55313,MN,45.175558,-93.85441,1
94523,CA,37.951672,-122.07317,1
55082,MN,45.054551,-92.82581,4
55068,MN,44.732105,-93.13437,1
08904,NJ,40.500254,-74.4257,6
92126,CA,32.914346,-117.14116,2
91367,CA,34.176238,-118.61992,2
55345,MN,44.915413,-93.48443,3
56043,MN,43.65048,-93.224,1
17870,PA,40.812047,-76.86138,1
55412,MN,45.027715,-93.30337,2
55372,MN,44.704646,-93.42139,1
73120,OK,35.579488,-97.56496,1
17003,PA,40.347757,-76.53498,1
55103,MN,44.964115,-93.12261,2
15232,PA,40.454018,-79.9325,1
55379,MN,44.776138,-93.52556,1
55119,MN,44.957315,-93.00616,1
55033,MN,44.726517,-92.86147,1
75240,TX,32.938774,-96.78543,3
55038,MN,45.161267,-92.99596,1
55124,MN,44.743963,-93.20624,3
91320,CA,34.175038,-118.93956,1
19027,PA,40.072293,-75.12406,2
94806,CA,37.972623,-122.33873,2
11201,NY,40.695286,-73.98907,5
83843,ID,46.727636,-116.98067,1
92009,CA,33.097841,-117.26744,3
10019,NY,40.765714,-73.9856,9
22206,VA,38.843466,-77.08973,2
94301,CA,37.443688,-122.15071,3
27514,NC,35.915083,-79.02939,10
01267,MA,42.689962,-73.22355,1
07704,NJ,40.360581,-74.03738,1
95407,CA,38.404991,-122.7275,1
15213,PA,40.443269,-79.95487,4
78705,TX,30.292424,-97.73856,9
55057,MN,44.459969,-93.16623,2
94538,CA,37.527237,-121.9679,5
01890,MA,42.451945,-71.14276,2
37211,TN,36.079259,-86.72584,3
76109,TX,32.699565,-97.37808,2
53217,WI,43.14351,-87.90894,1
23456,VA,36.762459,-76.06139,1
94131,CA,37.741797,-122.4378,6
94086,CA,37.378341,-122.02398,5
53213,WI,43.049012,-88.00012,3
37221,TN,36.065032,-86.94674,2
30030,GA,33.771705,-84.29407,6
60422,IL,41.539384,-87.68424,1
81335,CO,37.508184,-108.78311,1
64060,MO,39.365318,-94.3578,1
48083,MI,42.556943,-83.11506,2
49419,MI,42.679762,-85.98996,2
45242,OH,39.242559,-84.36042,2
92122,CA,32.856447,-117.21143,7
52570,IA,40.679958,-92.162,1
61801,IL,40.109647,-88.21246,5
98119,WA,47.63877,-122.36694,4
92130,CA,32.946776,-117.21918,4
20910,MD,38.999992,-77.03404,2
90064,CA,34.03457,-118.42843,2
32839,FL,28.489758,-81.40625,1
08534,NJ,40.32315,-74.78364,1
73543,OK,34.478901,-98.37791,1
67042,KS,37.830417,-96.84294,1
94403,CA,37.539686,-122.30266,4
53092,WI,43.223907,-87.95085,2
92649,CA,33.720017,-118.04614,4
23220,VA,37.549396,-77.45739,1
90210,CA,34.088808,-118.40612,13
98032,WA,47.388254,-122.25932,1
76201,TX,33.226598,-97.13061,2
92103,CA,32.746018,-117.16715,8
91711,CA,34.110009,-117.71973,3
01950,MA,42.809891,-70.86363,2
80206,CO,39.731237,-104.95243,2
95476,CA,38.277147,-122.47058,2
53711,WI,43.036696,-89.44499,7
66209,KS,38.900535,-94.63248,1
06320,CT,41.352498,-72.10338,1
14612,NY,43.256462,-77.66183,1
32256,FL,30.206922,-81.54604,2
44425,OH,41.166743,-80.57733,1
49507,MI,42.933077,-85.65435,1
43614,OH,41.60135,-83.62611,2
18011,PA,40.496375,-75.62213,1
10012,NY,40.72596,-73.99834,6
77025,TX,29.69023,-95.43474,2
20715,MD,38.979413,-76.74382,2
95020,CA,37.016943,-121.56581,1
90024,CA,34.063209,-118.43643,14
32951,FL,28.01514,-80.53518,1
92117,CA,32.823865,-117.19966,4
74105,OK,36.099044,-95.96615,5
13210,NY,43.037166,-76.12653,10
93560,CA,34.88923,-118.33629,1
92612,CA,33.650813,-117.81771,5
60555,IL,41.82552,-88.19452,1
75207,TX,32.78643,-96.81992,1
77005,TX,29.717529,-95.42821,9
97210,OR,45.534839,-122.7095,1
48154,MI,42.396194,-83.37161,1
80525,CO,40.532354,-105.0535,2
07649,NJ,40.953126,-74.03379,1
49512,MI,42.888821,-85.5616,1
33785,FL,27.887923,-82.84703,1
97132,OR,45.310304,-122.972,1
77584,TX,29.543654,-95.34036,2
85202,AZ,33.381097,-111.8756,3
47406,IN,39.173597,-86.51676,1
78155,TX,29.56478,-97.96283,1
23188,VA,37.322936,-76.75793,1
93704,CA,36.794748,-119.80097,1
08505,NJ,40.132784,-74.71778,1
85224,AZ,33.328951,-111.8735,2
80526,CO,40.539432,-105.11576,4
49445,MI,43.278021,-86.2682,2
20895,MD,39.027259,-77.07745,2
92660,CA,33.634821,-117.87453,1
75023,TX,33.054671,-96.73506,2
92629,CA,33.475302,-117.70327,1
92106,CA,32.7259,-117.23079,5
34691,FL,28.19006,-82.75735,1
28134,NC,35.086017,-80.89034,1
70507,LA,30.2786,-92.02759,1
13114,NY,43.468092,-76.2382,1
99163,WA,46.732705,-117.18648,3
74601,OK,36.707393,-97.10167,1
13317,NY,42.86749,-74.57435,1
08540,NJ,40.357439,-74.64922,3
22042,VA,38.864669,-77.18781,2
30307,GA,33.768205,-84.33786,2
61761,IL,40.515485,-88.98629,1
46845,IN,41.200465,-85.10219,1
02048,MA,42.019982,-71.2191,1
94122,CA,37.75838,-122.48478,8
34952,FL,27.291694,-80.29691,2
29681,SC,34.762693,-82.24512,1
37013,TN,36.055115,-86.64782,1
30501,GA,34.306643,-83.82352,1
27510,NC,35.912489,-79.08144,2
14136,NY,42.535276,-79.16539,1
13407,NY,42.970099,-74.96051,1
48103,MI,42.280887,-83.79147,15
90717,CA,33.793384,-118.31611,1
96813,HI,21.313033,-157.85615,2
85207,AZ,33.436767,-111.64338,2
76401,TX,32.242816,-98.21058,3
04240,ME,44.094773,-70.19141,7
97330,OR,44.608694,-123.2752,10
73505,OK,34.613973,-98.46255,2
01002,MA,42.377651,-72.50323,5
90808,CA,33.823316,-118.11329,1
44074,OH,41.2863,-82.21935,2
85712,AZ,32.249551,-110.8878,3
48065,MI,42.826805,-83.02963,1
17740,PA,41.209389,-77.25975,1
37042,TN,36.58068,-87.4056,1
92647,CA,33.725167,-118.00509,2
80521,CO,40.586282,-105.10494,4
95136,CA,37.269343,-121.84939,5
79912,TX,31.848055,-106.54487,3
76013,TX,32.721632,-97.14698,2
98188,WA,47.450321,-122.27472,2
90211,CA,34.066009,-118.38271,2
75070,TX,33.212203,-96.67522,3
97520,OR,42.169751,-122.61772,3
98027,WA,47.522828,-122.02921,3
90266,CA,33.88898,-118.40535,3
77449,TX,29.825908,-95.7301,2
11598,NY,40.633103,-73.71404,1
85284,AZ,33.338333,-111.92962,1
10580,NY,40.976579,-73.69002,2
07030,NJ,40.744851,-74.03294,8
30034,GA,33.693448,-84.24743,2
07070,NJ,40.828922,-74.11064,1
99205,WA,47.69399,-117.43979,1
24551,VA,37.366744,-79.29977,1
44095,OH,41.653796,-81.44614,1
54758,WI,44.555876,-91.21713,1
60660,IL,41.990631,-87.6667,6
77007,TX,29.772627,-95.40319,2
90004,CA,34.07711,-118.30755,3
95019,CA,36.935552,-121.77972,1
98606,WA,45.73451,-122.48034,1
60098,IL,42.316121,-88.43884,1
56303,MN,45.568516,-94.19251,1
13066,NY,43.028516,-76.00876,3
97201,OR,45.49894,-122.68781,3
97401,OR,44.06092,-123.08275,8
42754,KY,37.479797,-86.30731,1
38024,TN,36.038042,-89.38613,1
94002,CA,37.516687,-122.29026,4
19518,PA,40.273179,-75.73931,1
89156,NV,36.201612,-115.03358,1
63041,MO,38.262811,-90.77513,1
02882,RI,41.432452,-71.46352,1
85296,AZ,33.319722,-111.76078,1
74467,OK,35.961019,-95.3611,1
95128,CA,37.316983,-121.93555,1
45241,OH,39.276271,-84.39324,3
17067,PA,40.389502,-76.3147,1
02421,MA,42.439295,-71.23553,2
98499,WA,47.16632,-122.50844,2
75087,TX,32.93382,-96.45446,1
89118,NV,36.084361,-115.2103,2
48108,MI,42.232807,-83.72671,5
56258,MN,44.446885,-95.77281,1
92627,CA,33.647028,-117.91506,2
87543,NM,36.129822,-105.66493,1
32694,FL,29.789597,-82.1621,1
91776,CA,34.089059,-118.0951,1
95076,CA,36.922902,-121.77224,4
28223,NC,35.305552,-80.73303,1
11040,NY,40.742901,-73.67895,1
29307,SC,34.982424,-81.85729,1
55987,MN,44.033867,-91.65106,1
77802,TX,30.655348,-96.34056,1
37601,TN,36.331006,-82.3386,1
67212,KS,37.700632,-97.4343,2
45694,OH,38.729816,-82.8004,1
27511,NC,35.755651,-78.77508,3
37043,TN,36.506407,-87.2572,1
19147,PA,39.936562,-75.15409,3
98237,WA,48.497601,-121.70018,1
20175,VA,39.080037,-77.58025,1
48464,MI,43.219132,-83.42227,1
98498,WA,47.16062,-122.55877,1
72032,AR,35.075467,-92.43401,1
95776,CA,38.681254,-121.74189,1
22801,VA,38.426786,-78.88153,2
67217,KS,37.62421,-97.36312,1
90032,CA,34.08166,-118.17568,1
34990,FL,27.163485,-80.31267,1
85226,AZ,33.312208,-111.93177,4
70508,LA,30.163368,-92.01974,2
98006,WA,47.562975,-122.1526,1
94043,CA,37.40679,-122.07461,8
70002,LA,30.011517,-90.16245,1
37130,TN,35.860152,-86.3648,3
92108,CA,32.7736,-117.13785,2
41076,KY,39.019185,-84.44204,2
60107,IL,42.023977,-88.17657,1
60611,IL,41.904667,-87.62504,9
78759,TX,30.406169,-97.75743,6
14456,NY,42.853039,-76.99394,1
07666,NJ,40.890964,-74.01115,3
92078,CA,33.122029,-117.15605,1
39532,MS,30.462388,-88.93293,1
80210,CO,39.679437,-104.96473,2
70817,LA,30.387642,-90.99921,2
60657,IL,41.940832,-87.65852,10
20874,MD,39.169859,-77.27564,2
19464,PA,40.253496,-75.63481,1
46825,IN,41.150677,-85.12181,1
78640,TX,29.996916,-97.84756,1
94952,CA,38.243734,-122.69345,1
92661,CA,33.601822,-117.89966,1
02828,RI,41.870799,-71.5539,1
49321,MI,43.059661,-85.67384,2
92121,CA,32.899996,-117.20722,3
20009,DC,38.919211,-77.03777,7
80209,CO,39.706535,-104.96698,1
80228,CO,39.688278,-105.14558,4
94121,CA,37.778729,-122.49265,8
75006,TX,32.960374,-96.89163,4
75287,TX,32.998786,-96.84436,3
92105,CA,32.741256,-117.0951,1
55447,MN,45.003363,-93.49262,3
44092,OH,41.603581,-81.47087,1
72701,AR,36.040467,-94.13376,3
02453,MA,42.370446,-71.23563,4
11701,NY,40.6851,-73.41317,1
10013,NY,40.720666,-74.00526,6
78237,TX,29.422583,-98.56584,1
37027,TN,36.007373,-86.79121,3
62522,IL,39.840482,-89.00569,2
97205,OR,45.52054,-122.68573,3
08820,NJ,40.575503,-74.35781,3
95814,CA,38.580255,-121.49125,2
01702,MA,42.283995,-71.42161,2
92026,CA,33.181543,-117.11136,3
02144,MA,42.399546,-71.12165,6
26105,WV,39.323907,-81.54206,1
94707,CA,37.894625,-122.27917,2
43202,OH,40.018814,-83.00894,4
90631,CA,33.934513,-117.95159,3
01720,MA,42.477142,-71.4422,3
92673,CA,33.462927,-117.62414,1
49454,MI,43.946244,-86.28427,1
48105,MI,42.307288,-83.70443,11
14830,NY,42.140881,-77.04793,2
10024,NY,40.786387,-73.97709,6
80202,CO,39.751586,-104.99699,2
76031,TX,32.343115,-97.40081,1
85016,AZ,33.503742,-112.03235,2
31602,GA,30.866613,-83.30078,1
34683,FL,28.076744,-82.76116,1
94015,CA,37.682583,-122.48209,1
30605,GA,33.925085,-83.34529,2
90066,CA,34.002011,-118.43083,5
92027,CA,33.142706,-117.03049,1
45432,OH,39.74035,-84.09306,1
75165,TX,32.397024,-96.83283,1
92308,CA,34.447959,-117.19222,2
28655,NC,35.742752,-81.71625,1
71106,LA,32.426104,-93.74542,1
92831,CA,33.878981,-117.89325,2
98226,WA,48.759079,-122.43597,2
91324,CA,34.240353,-118.55038,3
20744,MD,38.756347,-76.99034,1
30338,GA,33.942751,-84.31769,1
72762,AR,36.186059,-94.1937,1
92084,CA,33.213309,-117.21474,4
91901,CA,32.823102,-116.73864,1
92056,CA,33.195354,-117.28232,1
92173,CA,32.556264,-117.05057,1
48009,MI,42.544084,-83.21527,2
37212,TN,36.133251,-86.80057,1
98642,WA,45.795825,-122.69804,1
07869,NJ,40.847649,-74.5748,1
91105,CA,34.137857,-118.16329,1
98199,WA,47.64767,-122.39758,1
98380,WA,47.596122,-122.89456,1
06032,CT,41.725195,-72.83032,1
97838,OR,45.846442,-119.28423,1
60538,IL,41.721886,-88.32972,1
60513,IL,41.822681,-87.84753,2
01060,MA,42.324539,-72.63561,6
20110,VA,38.752269,-77.47694,2
76240,TX,33.627942,-97.13636,1
45387,OH,39.797227,-83.89239,1
85716,AZ,32.242275,-110.92533,1
08033,NJ,39.895213,-75.04019,2
91505,CA,34.166906,-118.34366,8
49345,MI,43.161106,-85.69952,1
21015,MD,39.532212,-76.30754,1
43056,OH,40.017096,-82.34322,1
96753,HI,20.771418,-156.45769,2
21044,MD,39.21536,-76.87823,2
10009,NY,40.727093,-73.97864,5
97478,OR,44.070824,-122.90709,1
97030,OR,45.507752,-122.4323,2
21030,MD,39.477506,-76.64114,3
94941,CA,37.898058,-122.54134,3
29706,SC,34.720597,-81.21429,1
48116,MI,42.509476,-83.77718,3
44622,OH,40.537509,-81.48791,1
45244,OH,39.119161,-84.33389,2
10016,NY,40.74618,-73.97759,13
80020,CO,39.93404,-105.05454,1
48197,MI,42.223482,-83.63316,9
92262,CA,33.842984,-116.54344,1
43615,OH,41.6522,-83.67037,3
19103,PA,39.952162,-75.17406,4
27615,NC,35.891726,-78.63203,2
94930,CA,37.98779,-122.59962,3
98136,WA,47.538887,-122.38803,1
89113,NV,36.067495,-115.26039,1
80110,CO,39.646847,-104.99076,1
19116,PA,40.117413,-75.0154,2
92014,CA,32.961812,-117.25967,1
92064,CA,32.973645,-117.03701,1
99224,WA,47.632573,-117.49326,1
92129,CA,32.961014,-117.1251,2
32608,FL,29.611545,-82.3941,2
19004,PA,40.012862,-75.23309,4
48098,MI,42.599133,-83.15235,1
48823,MI,42.747922,-84.47143,4
20706,MD,38.964093,-76.85331,3
10004,NJ,40.699226,-74.04118,1
02780,MA,41.904888,-71.10288,4
45678,OH,38.615111,-82.38004,1
92109,CA,32.791246,-117.24343,4
98102,WA,47.63287,-122.32253,9
15748,PA,40.529621,-79.14264,1
62558,IL,39.580159,-89.54402,1
07043,NJ,40.844199,-74.20218,2
19320,PA,39.978456,-75.82275,1
08003,NJ,39.879713,-74.9719,1
